title,year,certificate,duration,genre,rating,metascore,director,actor1,actor2,actor3,actor4,votes,gross
    Hamilton  ,2020,PG-13,160," Biography, Drama, History            ",8.5,90,    Thomas Kail  ,      Lin-Manuel Miranda,   Phillipa Soo,   Leslie Odom Jr.,   Rene Elise Golds erry  ,59630,0
    PK  ,2014,Not Rated,153," Comedy, Drama, Musical            ",8.1,0,    Rajkumar Hirani  ,      Aamir Khan,   Anushka Sharma,   Sanjay Dutt,   Boman Irani  ,164402,10620000
    Lagaan: Once Upon a Time in India  ,2001,PG,224," Drama, Musical, Sport            ",8.1,84,    Ashutosh Gowariker  ,      Aamir Khan,   Raghuvir Yadav,   Gracy Singh,   Rachel Shelley  ,105651,70000
    La La Land  ,2016,PG-13,128," Comedy, Drama, Music            ",8.0,94,    Damien Chazelle  ,      Ryan Gosling,   Emma Stone,   Rosemarie DeWitt,   J.K. Simmons  ,511752,151100000
    Baahu ali: The Beginning  ,2015,Not Rated,159," Action, Adventure, Drama            ",8.0,0,    S.S. Rajamouli  ,      Pra has,   Rana Daggu ati,   Ramya Krishnan,   Sathyaraj  ,103724,6740000
    Dancer in the Dark  ,2000,R,140," Crime, Drama, Musical            ",8.0,61,    Lars von Trier  ,      Bjrk,   Catherine Deneuve,   David Morse,   Peter Stormare  ,102931,4180000
    Kal Ho Naa Ho  ,2003,Not Rated,186," Comedy, Drama, Musical            ",7.9,0,    Nikkhil Advani  ,      Preity Zinta,   Shah Rukh Khan,   Saif Ali Khan,   Jaya Bachchan  ,63784,1790000
    Veer-Zaara  ,2004,Not Rated,192," Drama, Family, Musical            ",7.8,67,    Yash Chopra  ,      Shah Rukh Khan,   Preity Zinta,   Rani Mukerji,   Kirron Kher  ,49363,2920000
    Rockstar  ,2011,Not Rated,159," Drama, Music, Musical            ",7.7,0,    Imtiaz Ali  ,      Ran ir Kapoor,   Nargis Fakhri,   Shammi Kapoor,   Kumud Mishra  ,39773,990000
    Tangled  ,2010,PG,100," Animation, Adventure, Comedy            ",7.7,71,    Nathan Greno   ,       Mandy Moore,   Zachary Levi,   Donna Murphy,   Ron Perlman    ,408692,200820000
    Hedwig and the Angry Inch  ,2001,R,95," Comedy, Drama, Music            ",7.7,85,    John Cameron Mitchell  ,      John Cameron Mitchell,   Miriam Shor,   Stephen Trask,   Theodore Liscinski  ,32093,3030000
    Moana  ,2016,PG,107," Animation, Adventure, Comedy            ",7.6,81,    Ron Clements   ,         Chris Williams    ,   Auli    i Cravalho,     Dwayne Johnson,,276545,248760000
    Les Misra les  ,2012,PG-13,158," Drama, History, Musical            ",7.6,63,    Tom Hooper  ,      Hugh Jackman,   Russell Crowe,   Anne Hathaway,   Amanda Seyfried  ,310607,148810000
    The Greatest Showman  ,2017,PG,105," Biography, Drama, Musical            ",7.6,0,    Michael Gracey  ,      Hugh Jackman,   Michelle Williams,   Zac Efron,   Zendaya  ,242602,174340000
    Devdas  ,2002,Not Rated,185," Drama, Musical, Romance            ",7.6,0,    Sanjay Leela Bhansali  ,      Shah Rukh Khan,   Aishwarya Rai Bachchan,   Madhuri Dixit,   Jackie Shroff  ,38663,3500000
    Moulin Rouge!  ,2001,PG-13,127," Drama, Musical, Romance            ",7.6,66,    Baz Luhrmann  ,      Nicole Kidman,   Ewan McGregor,   John Leguizamo,   Jim Broad ent  ,268036,57390000
    Frozen  ,2013,PG,102," Animation, Adventure, Comedy            ",7.4,75,    Chris Buck   ,       Kristen Bell,   Idina Menzel,   Jonathan Groff,   Josh Gad    ,575884,400740000
