title,year,certificate,duration,genre,rating,metascore,director,actors,votes,gross
Schindler's List,1993),R,195," Biography, Drama, History            ",8.9,94        ,Steven Spielberg,"['Liam Neeson, ', 'Ralph Fiennes, ', 'Ben Kingsley, ', 'Caroline Goodall', '']",1222295,$96.90M
Hamilton,2020),PG-13,160," Biography, Drama, History            ",8.5,90        ,Thomas Kail,"['Lin-Manuel Miranda, ', 'Phillipa Soo, ', 'Leslie Odom Jr., ', 'Renée Elise Goldsberry', '']",59623,0
Ayla: The Daughter of War,2017),0,125," Biography, Drama, History            ",8.4,0,Can Ulkay,"['Çetin Tekindor, ', 'Ismail Hacioglu, ', 'Kyung-jin Lee, ', 'Kim Seol', '']",34676,0
Braveheart,1995),R,178," Biography, Drama, History            ",8.3,68        ,Mel Gibson,"['Mel Gibson, ', 'Sophie Marceau, ', 'Patrick McGoohan, ', 'Angus Macfadyen', '']",964788,$75.60M
Amadeus,1984),R,160," Biography, Drama, History            ",8.3,88        ,Milos Forman,"['F. Murray Abraham, ', 'Tom Hulce, ', 'Elizabeth Berridge, ', 'Roy Dotrice', '']",371428,$51.97M
Lawrence of Arabia,1962),Approved,228," Adventure, Biography, Drama            ",8.3,100        ,David Lean,"[""Peter O'Toole, "", 'Alec Guinness, ', 'Anthony Quinn, ', 'Jack Hawkins', '']",269998,$44.82M
Downfall,2004),R,156," Biography, Drama, History            ",8.2,82        ,Oliver Hirschbiegel,"['Bruno Ganz, ', 'Alexandra Maria Lara, ', 'Ulrich Matthes, ', 'Juliane Köhler', '']",333342,$5.51M
The Message,1976),PG,177," Biography, Drama, History            ",8.2,0,Moustapha Akkad,"['Anthony Quinn, ', 'Irene Papas, ', 'Michael Ansara, ', 'Johnny Sekka', '']",44174,0
The Great Escape,1963),Approved,172," Adventure, Drama, History            ",8.2,86        ,John Sturges,"['Steve McQueen, ', 'James Garner, ', 'Richard Attenborough, ', 'Charles Bronson', '']",226237,$12.10M
The Seventh Seal,1957),Not Rated,96," Drama, Fantasy, History            ",8.2,88        ,Ingmar Bergman,"['Max von Sydow, ', 'Gunnar Björnstrand, ', 'Bengt Ekerot, ', 'Nils Poppe', '']",166731,0
Hacksaw Ridge,2016),R,139," Biography, Drama, History            ",8.1,71        ,Mel Gibson,"['Andrew Garfield, ', 'Sam Worthington, ', 'Luke Bracey, ', 'Teresa Palmer', '']",441572,$67.21M
12 Years a Slave,2013),R,134," Biography, Drama, History            ",8.1,96        ,Steve McQueen,"['Chiwetel Ejiofor, ', 'Michael Kenneth Williams, ', 'Michael Fassbender, ', 'Brad Pitt', '']",645651,$56.67M
Hotel Rwanda,2004),PG-13,121," Biography, Drama, History            ",8.1,79        ,Terry George,"['Don Cheadle, ', 'Sophie Okonedo, ', 'Joaquin Phoenix, ', 'Xolani Mali', '']",336060,$23.53M
Raise the Red Lantern,1991),PG,125," Drama, History, Romance            ",8.1,0,Yimou Zhang,"['Li Gong, ', 'Jingwu Ma, ', 'Saifei He, ', 'Cuifen Cao', '']",29861,$2.60M
Barry Lyndon,1975),PG,185," Adventure, Drama, History            ",8.1,89        ,Stanley Kubrick,"[""Ryan O'Neal, "", 'Marisa Berenson, ', 'Patrick Magee, ', 'Hardy Krüger', '']",151386,0
Andrei Rublev,1966),R,205," Biography, Drama, History            ",8.1,0,Andrei Tarkovsky,"['Anatoliy Solonitsyn, ', 'Ivan Lapikov, ', 'Nikolay Grinko, ', 'Nikolay Sergeev', '']",47642,$0.10M
Inherit the Wind,1960),Passed,128," Biography, Drama, History            ",8.1,75        ,Stanley Kramer,"['Spencer Tracy, ', 'Fredric March, ', 'Gene Kelly, ', 'Dick York', '']",27468,0
Ben-Hur,1959),G,212," Adventure, Drama, History            ",8.1,90        ,William Wyler,"['Charlton Heston, ', 'Jack Hawkins, ', 'Stephen Boyd, ', 'Haya Harareet', '']",220770,$74.70M
